date,temp,month,year,scen
16.12.96,29.9791,12,1996,RCP2.6
16.01.97,27.92504,1,1997,RCP2.6
15.02.97,27.98412,2,1997,RCP2.6
16.03.97,26.38116,3,1997,RCP2.6
16.04.97,25.54092,4,1997,RCP2.6
16.05.97,22.40304,5,1997,RCP2.6
16.06.97,20.06628,6,1997,RCP2.6
16.07.97,20.7183,7,1997,RCP2.6
16.08.97,22.46545,8,1997,RCP2.6
16.09.97,27.77642,9,1997,RCP2.6
16.10.97,30.27325,10,1997,RCP2.6
16.11.97,29.68353,11,1997,RCP2.6
16.12.97,28.16396,12,1997,RCP2.6
16.01.98,29.4935,1,1998,RCP2.6
15.02.98,28.5614,2,1998,RCP2.6
16.03.98,26.06646,3,1998,RCP2.6
16.04.98,24.25326,4,1998,RCP2.6
16.05.98,20.84957,5,1998,RCP2.6
16.06.98,19.56768,6,1998,RCP2.6
16.07.98,18.7889,7,1998,RCP2.6
16.08.98,23.03192,8,1998,RCP2.6
16.09.98,27.57583,9,1998,RCP2.6
16.10.98,29.42544,10,1998,RCP2.6
16.11.98,29.196,11,1998,RCP2.6
16.12.98,28.93716,12,1998,RCP2.6
16.01.99,29.29656,1,1999,RCP2.6
15.02.99,28.6349,2,1999,RCP2.6
16.03.99,27.1342,3,1999,RCP2.6
16.04.99,25.41558,4,1999,RCP2.6
16.05.99,21.8921,5,1999,RCP2.6
16.06.99,19.9646,6,1999,RCP2.6
16.07.99,20.1178,7,1999,RCP2.6
16.08.99,25.2279,8,1999,RCP2.6
16.09.99,28.818,9,1999,RCP2.6
16.10.99,29.42724,10,1999,RCP2.6
16.11.99,29.72775,11,1999,RCP2.6
16.12.99,28.10305,12,1999,RCP2.6
16.01.00,29.19683,1,2000,RCP2.6
15.02.00,27.9976,2,2000,RCP2.6
16.03.00,26.23165,3,2000,RCP2.6
16.04.00,23.16845,4,2000,RCP2.6
16.05.00,20.20184,5,2000,RCP2.6
16.06.00,19.36358,6,2000,RCP2.6
16.07.00,18.66174,7,2000,RCP2.6
16.08.00,23.12545,8,2000,RCP2.6
16.09.00,28.00884,9,2000,RCP2.6
16.10.00,30.70663,10,2000,RCP2.6
16.11.00,28.93783,11,2000,RCP2.6
16.12.00,29.9532,12,2000,RCP2.6
16.01.01,28.71725,1,2001,RCP2.6
15.02.01,28.85983,2,2001,RCP2.6
16.03.01,28.5111,3,2001,RCP2.6
16.04.01,25.88754,4,2001,RCP2.6
16.05.01,21.1378,5,2001,RCP2.6
16.06.01,18.61648,6,2001,RCP2.6
16.07.01,19.30236,7,2001,RCP2.6
16.08.01,23.97787,8,2001,RCP2.6
16.09.01,28.31103,9,2001,RCP2.6
16.10.01,30.42742,10,2001,RCP2.6
16.11.01,29.56793,11,2001,RCP2.6
16.12.01,30.44302,12,2001,RCP2.6
16.01.02,29.1428,1,2002,RCP2.6
15.02.02,27.1148,2,2002,RCP2.6
16.03.02,26.40862,3,2002,RCP2.6
16.04.02,24.84237,4,2002,RCP2.6
16.05.02,21.31436,5,2002,RCP2.6
16.06.02,18.42947,6,2002,RCP2.6
16.07.02,18.81667,7,2002,RCP2.6
16.08.02,22.875,8,2002,RCP2.6
16.09.02,27.8107,9,2002,RCP2.6
16.10.02,29.1345,10,2002,RCP2.6
16.11.02,30.98055,11,2002,RCP2.6
16.12.02,29.20046,12,2002,RCP2.6
16.01.03,29.18496,1,2003,RCP2.6
15.02.03,28.67715,2,2003,RCP2.6
16.03.03,26.64965,3,2003,RCP2.6
16.04.03,25.43585,4,2003,RCP2.6
16.05.03,21.5268,5,2003,RCP2.6
16.06.03,18.76415,6,2003,RCP2.6
16.07.03,20.0461,7,2003,RCP2.6
16.08.03,23.81878,8,2003,RCP2.6
16.09.03,29.21002,9,2003,RCP2.6
16.10.03,29.84048,10,2003,RCP2.6
16.11.03,30.77642,11,2003,RCP2.6
16.12.03,28.7627,12,2003,RCP2.6
16.01.04,29.14785,1,2004,RCP2.6
15.02.04,28.64718,2,2004,RCP2.6
16.03.04,27.04125,3,2004,RCP2.6
16.04.04,25.12222,4,2004,RCP2.6
16.05.04,21.63754,5,2004,RCP2.6
16.06.04,20.07485,6,2004,RCP2.6
16.07.04,19.79354,7,2004,RCP2.6
16.08.04,23.5721,8,2004,RCP2.6
16.09.04,28.37368,9,2004,RCP2.6
16.10.04,30.16693,10,2004,RCP2.6
16.11.04,29.736,11,2004,RCP2.6
16.12.04,30.69808,12,2004,RCP2.6
16.01.05,29.90804,1,2005,RCP2.6
15.02.05,30.36987,2,2005,RCP2.6
16.03.05,28.72744,3,2005,RCP2.6
16.04.05,26.39596,4,2005,RCP2.6
16.05.05,22.1005,5,2005,RCP2.6
16.06.05,19.20257,6,2005,RCP2.6
16.07.05,19.24578,7,2005,RCP2.6
16.08.05,23.7947,8,2005,RCP2.6
16.09.05,27.9243,9,2005,RCP2.6
16.10.05,30.2495,10,2005,RCP2.6
16.11.05,31.53558,11,2005,RCP2.6
16.12.05,31.48956,12,2005,RCP2.6
16.01.06,29.15447,1,2006,RCP2.6
15.02.06,29.58093,2,2006,RCP2.6
16.03.06,27.51962,3,2006,RCP2.6
16.04.06,25.58807,4,2006,RCP2.6
16.05.06,21.6533,5,2006,RCP2.6
16.06.06,19.59133,6,2006,RCP2.6
16.07.06,19.90072,7,2006,RCP2.6
16.08.06,23.27163,8,2006,RCP2.6
16.09.06,27.90002,9,2006,RCP2.6
16.10.06,31.7374,10,2006,RCP2.6
16.11.06,30.58273,11,2006,RCP2.6
16.12.06,30.36016,12,2006,RCP2.6
16.01.07,29.92355,1,2007,RCP2.6
15.02.07,27.8162,2,2007,RCP2.6
16.03.07,27.99835,3,2007,RCP2.6
16.04.07,24.9412,4,2007,RCP2.6
16.05.07,21.72796,5,2007,RCP2.6
16.06.07,18.92593,6,2007,RCP2.6
16.07.07,20.79415,7,2007,RCP2.6
16.08.07,23.56524,8,2007,RCP2.6
16.09.07,28.59576,9,2007,RCP2.6
16.10.07,29.98077,10,2007,RCP2.6
16.11.07,30.4947,11,2007,RCP2.6
16.12.07,30.33126,12,2007,RCP2.6
16.01.08,29.50298,1,2008,RCP2.6
15.02.08,29.33578,2,2008,RCP2.6
16.03.08,28.71948,3,2008,RCP2.6
16.04.08,25.6763,4,2008,RCP2.6
16.05.08,22.4528,5,2008,RCP2.6
16.06.08,19.39486,6,2008,RCP2.6
16.07.08,20.20986,7,2008,RCP2.6
16.08.08,24.07983,8,2008,RCP2.6
16.09.08,30.06866,9,2008,RCP2.6
16.10.08,30.50726,10,2008,RCP2.6
16.11.08,29.13445,11,2008,RCP2.6
16.12.08,30.46185,12,2008,RCP2.6
16.01.09,30.45956,1,2009,RCP2.6
15.02.09,30.13976,2,2009,RCP2.6
16.03.09,29.37844,3,2009,RCP2.6
16.04.09,24.9322,4,2009,RCP2.6
16.05.09,20.4013,5,2009,RCP2.6
16.06.09,19.44613,6,2009,RCP2.6
16.07.09,19.65573,7,2009,RCP2.6
16.08.09,23.69,8,2009,RCP2.6
16.09.09,27.82906,9,2009,RCP2.6
16.10.09,30.08132,10,2009,RCP2.6
16.11.09,30.35815,11,2009,RCP2.6
16.12.09,30.81704,12,2009,RCP2.6
16.01.10,29.6613,1,2010,RCP2.6
15.02.10,29.4379,2,2010,RCP2.6
16.03.10,27.70477,3,2010,RCP2.6
16.04.10,25.4311,4,2010,RCP2.6
16.05.10,23.17483,5,2010,RCP2.6
16.06.10,20.72183,6,2010,RCP2.6
16.07.10,20.9435,7,2010,RCP2.6
16.08.10,24.41082,8,2010,RCP2.6
16.09.10,29.00604,9,2010,RCP2.6
16.10.10,31.36675,10,2010,RCP2.6
16.11.10,31.31243,11,2010,RCP2.6
16.12.10,30.29598,12,2010,RCP2.6
16.01.11,29.6559,1,2011,RCP2.6
15.02.11,28.36456,2,2011,RCP2.6
16.03.11,27.98892,3,2011,RCP2.6
16.04.11,26.1108,4,2011,RCP2.6
16.05.11,22.2894,5,2011,RCP2.6
16.06.11,20.14965,6,2011,RCP2.6
16.07.11,21.2295,7,2011,RCP2.6
16.08.11,23.37036,8,2011,RCP2.6
16.09.11,29.078,9,2011,RCP2.6
16.10.11,30.97445,10,2011,RCP2.6
16.11.11,31.2971,11,2011,RCP2.6
16.12.11,31.21182,12,2011,RCP2.6
16.01.12,30.8208,1,2012,RCP2.6
15.02.12,31.0023,2,2012,RCP2.6
16.03.12,27.6788,3,2012,RCP2.6
16.04.12,25.79064,4,2012,RCP2.6
16.05.12,22.16506,5,2012,RCP2.6
16.06.12,18.73757,6,2012,RCP2.6
16.07.12,19.75436,7,2012,RCP2.6
16.08.12,23.46414,8,2012,RCP2.6
16.09.12,28.7878,9,2012,RCP2.6
16.10.12,30.54223,10,2012,RCP2.6
16.11.12,29.38204,11,2012,RCP2.6
16.12.12,29.7333,12,2012,RCP2.6
16.01.13,28.36968,1,2013,RCP2.6
15.02.13,30.24642,2,2013,RCP2.6
16.03.13,29.31622,3,2013,RCP2.6
16.04.13,25.79843,4,2013,RCP2.6
16.05.13,21.22402,5,2013,RCP2.6
16.06.13,20.20242,6,2013,RCP2.6
16.07.13,20.35717,7,2013,RCP2.6
16.08.13,23.04873,8,2013,RCP2.6
16.09.13,28.41076,9,2013,RCP2.6
16.10.13,30.4321,10,2013,RCP2.6
16.11.13,30.32922,11,2013,RCP2.6
16.12.13,30.2877,12,2013,RCP2.6
16.01.14,29.98013,1,2014,RCP2.6
15.02.14,28.97228,2,2014,RCP2.6
16.03.14,27.14855,3,2014,RCP2.6
16.04.14,24.96194,4,2014,RCP2.6
16.05.14,21.8385,5,2014,RCP2.6
16.06.14,19.66873,6,2014,RCP2.6
16.07.14,19.2394,7,2014,RCP2.6
16.08.14,23.03588,8,2014,RCP2.6
16.09.14,27.84884,9,2014,RCP2.6
16.10.14,30.35397,10,2014,RCP2.6
16.11.14,31.521,11,2014,RCP2.6
16.12.14,30.21047,12,2014,RCP2.6
16.01.15,30.4257,1,2015,RCP2.6
15.02.15,29.65048,2,2015,RCP2.6
16.03.15,27.27664,3,2015,RCP2.6
16.04.15,24.386,4,2015,RCP2.6
16.05.15,21.79363,5,2015,RCP2.6
16.06.15,19.48177,6,2015,RCP2.6
16.07.15,19.6824,7,2015,RCP2.6
16.08.15,23.75787,8,2015,RCP2.6
16.09.15,28.14376,9,2015,RCP2.6
16.10.15,31.0677,10,2015,RCP2.6
16.11.15,30.64236,11,2015,RCP2.6
16.12.15,31.6617,12,2015,RCP2.6
16.01.16,29.2823,1,2016,RCP2.6
15.02.16,28.725,2,2016,RCP2.6
16.03.16,27.79333,3,2016,RCP2.6
16.04.16,26.42086,4,2016,RCP2.6
16.05.16,22.70077,5,2016,RCP2.6
16.06.16,19.8972,6,2016,RCP2.6
16.07.16,19.8113,7,2016,RCP2.6
16.08.16,23.28402,8,2016,RCP2.6
16.09.16,28.36547,9,2016,RCP2.6
16.10.16,30.062,10,2016,RCP2.6
16.11.16,31.25756,11,2016,RCP2.6
16.12.16,31.46105,12,2016,RCP2.6
16.01.17,30.60323,1,2017,RCP2.6
15.02.17,29.22958,2,2017,RCP2.6
16.03.17,27.3478,3,2017,RCP2.6
16.04.17,25.96823,4,2017,RCP2.6
16.05.17,21.96917,5,2017,RCP2.6
16.06.17,19.17455,6,2017,RCP2.6
16.07.17,20.62954,7,2017,RCP2.6
16.08.17,23.95376,8,2017,RCP2.6
16.09.17,27.79342,9,2017,RCP2.6
16.10.17,31.898,10,2017,RCP2.6
16.11.17,30.9186,11,2017,RCP2.6
16.12.17,30.11028,12,2017,RCP2.6
16.01.18,29.71533,1,2018,RCP2.6
15.02.18,28.63152,2,2018,RCP2.6
16.03.18,26.51083,3,2018,RCP2.6
16.04.18,24.52075,4,2018,RCP2.6
16.05.18,20.59088,5,2018,RCP2.6
16.06.18,18.8947,6,2018,RCP2.6
16.07.18,20.89004,7,2018,RCP2.6
16.08.18,23.78735,8,2018,RCP2.6
16.09.18,28.93133,9,2018,RCP2.6
16.10.18,30.37408,10,2018,RCP2.6
16.11.18,30.50323,11,2018,RCP2.6
16.12.18,31.11068,12,2018,RCP2.6
16.01.19,30.277,1,2019,RCP2.6
15.02.19,30.22787,2,2019,RCP2.6
16.03.19,28.05673,3,2019,RCP2.6
16.04.19,26.55932,4,2019,RCP2.6
16.05.19,22.47436,5,2019,RCP2.6
16.06.19,20.02764,6,2019,RCP2.6
16.07.19,20.86343,7,2019,RCP2.6
16.08.19,23.71588,8,2019,RCP2.6
16.09.19,28.83288,9,2019,RCP2.6
16.10.19,29.96017,10,2019,RCP2.6
16.11.19,30.77712,11,2019,RCP2.6
16.12.19,29.53106,12,2019,RCP2.6
16.01.20,29.11862,1,2020,RCP2.6
15.02.20,28.24267,2,2020,RCP2.6
16.03.20,27.4894,3,2020,RCP2.6
16.04.20,26.01736,4,2020,RCP2.6
16.05.20,22.50384,5,2020,RCP2.6
16.06.20,20.1433,6,2020,RCP2.6
16.07.20,20.6379,7,2020,RCP2.6
16.08.20,24.07247,8,2020,RCP2.6
16.09.20,28.8586,9,2020,RCP2.6
16.10.20,29.2775,10,2020,RCP2.6
16.11.20,29.61602,11,2020,RCP2.6
16.12.20,30.7987,12,2020,RCP2.6
16.01.21,30.24502,1,2021,RCP2.6
15.02.21,30.4989,2,2021,RCP2.6
16.03.21,29.24005,3,2021,RCP2.6
16.04.21,24.48577,4,2021,RCP2.6
16.05.21,22.61834,5,2021,RCP2.6
16.06.21,19.1054,6,2021,RCP2.6
16.07.21,21.221,7,2021,RCP2.6
16.08.21,24.5255,8,2021,RCP2.6
16.09.21,29.99636,9,2021,RCP2.6
16.10.21,32.0757,10,2021,RCP2.6
16.11.21,32.0442,11,2021,RCP2.6
16.12.21,30.70718,12,2021,RCP2.6
16.01.22,30.46066,1,2022,RCP2.6
15.02.22,30.02776,2,2022,RCP2.6
16.03.22,29.3569,3,2022,RCP2.6
16.04.22,27.14187,4,2022,RCP2.6
16.05.22,24.23568,5,2022,RCP2.6
16.06.22,20.45272,6,2022,RCP2.6
16.07.22,20.8828,7,2022,RCP2.6
16.08.22,23.9105,8,2022,RCP2.6
16.09.22,28.7543,9,2022,RCP2.6
16.10.22,31.03176,10,2022,RCP2.6
16.11.22,30.7742,11,2022,RCP2.6
16.12.22,30.94164,12,2022,RCP2.6
16.01.23,31.40188,1,2023,RCP2.6
15.02.23,29.97732,2,2023,RCP2.6
16.03.23,27.32015,3,2023,RCP2.6
16.04.23,25.83215,4,2023,RCP2.6
16.05.23,21.96874,5,2023,RCP2.6
16.06.23,20.3336,6,2023,RCP2.6
16.07.23,20.68514,7,2023,RCP2.6
16.08.23,23.24047,8,2023,RCP2.6
16.09.23,27.29205,9,2023,RCP2.6
16.10.23,31.05267,10,2023,RCP2.6
16.11.23,30.27047,11,2023,RCP2.6
16.12.23,30.53372,12,2023,RCP2.6
16.01.24,28.79104,1,2024,RCP2.6
15.02.24,28.5949,2,2024,RCP2.6
16.03.24,27.24264,3,2024,RCP2.6
16.04.24,26.18533,4,2024,RCP2.6
16.05.24,22.24722,5,2024,RCP2.6
16.06.24,19.57156,6,2024,RCP2.6
16.07.24,20.91918,7,2024,RCP2.6
16.08.24,23.85464,8,2024,RCP2.6
16.09.24,28.8542,9,2024,RCP2.6
16.10.24,31.0241,10,2024,RCP2.6
16.11.24,30.29693,11,2024,RCP2.6
16.12.24,30.98803,12,2024,RCP2.6
16.01.25,30.84365,1,2025,RCP2.6
15.02.25,30.53436,2,2025,RCP2.6
16.03.25,27.9436,3,2025,RCP2.6
16.04.25,25.538,4,2025,RCP2.6
16.05.25,22.18475,5,2025,RCP2.6
16.06.25,20.98312,6,2025,RCP2.6
16.07.25,20.36434,7,2025,RCP2.6
16.08.25,24.8677,8,2025,RCP2.6
16.09.25,30.2171,9,2025,RCP2.6
16.10.25,31.2512,10,2025,RCP2.6
16.11.25,31.936,11,2025,RCP2.6
16.12.25,29.97567,12,2025,RCP2.6
16.01.26,29.98425,1,2026,RCP2.6
15.02.26,30.5748,2,2026,RCP2.6
16.03.26,28.6121,3,2026,RCP2.6
16.04.26,26.11385,4,2026,RCP2.6
16.05.26,22.812,5,2026,RCP2.6
16.06.26,19.63705,6,2026,RCP2.6
16.07.26,19.93456,7,2026,RCP2.6
16.08.26,23.7156,8,2026,RCP2.6
16.09.26,28.66808,9,2026,RCP2.6
16.10.26,31.80737,10,2026,RCP2.6
16.11.26,30.65258,11,2026,RCP2.6
16.12.26,31.93224,12,2026,RCP2.6
16.01.27,31.7032,1,2027,RCP2.6
15.02.27,30.53015,2,2027,RCP2.6
16.03.27,29.43844,3,2027,RCP2.6
16.04.27,25.33297,4,2027,RCP2.6
16.05.27,21.77673,5,2027,RCP2.6
16.06.27,20.28698,6,2027,RCP2.6
16.07.27,19.4144,7,2027,RCP2.6
16.08.27,24.01608,8,2027,RCP2.6
16.09.27,28.86514,9,2027,RCP2.6
16.10.27,29.7401,10,2027,RCP2.6
16.11.27,29.4023,11,2027,RCP2.6
16.12.27,30.0963,12,2027,RCP2.6
16.01.28,29.65814,1,2028,RCP2.6
15.02.28,30.5139,2,2028,RCP2.6
16.03.28,28.306,3,2028,RCP2.6
16.04.28,25.59292,4,2028,RCP2.6
16.05.28,22.1264,5,2028,RCP2.6
16.06.28,20.9059,6,2028,RCP2.6
16.07.28,20.75125,7,2028,RCP2.6
16.08.28,23.3834,8,2028,RCP2.6
16.09.28,27.44448,9,2028,RCP2.6
16.10.28,29.73937,10,2028,RCP2.6
16.11.28,30.88296,11,2028,RCP2.6
16.12.28,31.5968,12,2028,RCP2.6
16.01.29,31.63375,1,2029,RCP2.6
15.02.29,28.86517,2,2029,RCP2.6
16.03.29,28.0557,3,2029,RCP2.6
16.04.29,26.24905,4,2029,RCP2.6
16.05.29,22.73263,5,2029,RCP2.6
16.06.29,20.0445,6,2029,RCP2.6
16.07.29,20.1188,7,2029,RCP2.6
16.08.29,23.86163,8,2029,RCP2.6
16.09.29,29.15655,9,2029,RCP2.6
16.10.29,30.68047,10,2029,RCP2.6
16.11.29,31.22213,11,2029,RCP2.6
16.12.29,31.1321,12,2029,RCP2.6
16.01.30,30.4459,1,2030,RCP2.6
15.02.30,29.58563,2,2030,RCP2.6
16.03.30,29.00015,3,2030,RCP2.6
16.04.30,27.36584,4,2030,RCP2.6
16.05.30,22.82955,5,2030,RCP2.6
16.06.30,20.7753,6,2030,RCP2.6
16.07.30,20.82476,7,2030,RCP2.6
16.08.30,24.71,8,2030,RCP2.6
16.09.30,28.81405,9,2030,RCP2.6
16.10.30,30.68594,10,2030,RCP2.6
16.11.30,31.18765,11,2030,RCP2.6
16.12.30,30.94558,12,2030,RCP2.6
16.01.31,29.6947,1,2031,RCP2.6
15.02.31,30.71395,2,2031,RCP2.6
16.03.31,29.34213,3,2031,RCP2.6
16.04.31,24.98898,4,2031,RCP2.6
16.05.31,22.05596,5,2031,RCP2.6
16.06.31,19.5499,6,2031,RCP2.6
16.07.31,20.816,7,2031,RCP2.6
16.08.31,24.40725,8,2031,RCP2.6
16.09.31,29.0483,9,2031,RCP2.6
16.10.31,31.48065,10,2031,RCP2.6
16.11.31,31.40222,11,2031,RCP2.6
16.12.31,30.55212,12,2031,RCP2.6
16.01.32,29.3429,1,2032,RCP2.6
15.02.32,30.07495,2,2032,RCP2.6
16.03.32,27.61926,3,2032,RCP2.6
16.04.32,25.8547,4,2032,RCP2.6
16.05.32,21.69772,5,2032,RCP2.6
16.06.32,20.04586,6,2032,RCP2.6
16.07.32,20.4789,7,2032,RCP2.6
16.08.32,24.19445,8,2032,RCP2.6
16.09.32,29.54086,9,2032,RCP2.6
16.10.32,30.6138,10,2032,RCP2.6
16.11.32,30.61492,11,2032,RCP2.6
16.12.32,30.4411,12,2032,RCP2.6
16.01.33,29.78903,1,2033,RCP2.6
15.02.33,30.5622,2,2033,RCP2.6
16.03.33,28.16836,3,2033,RCP2.6
16.04.33,24.9236,4,2033,RCP2.6
16.05.33,21.15283,5,2033,RCP2.6
16.06.33,19.565,6,2033,RCP2.6
16.07.33,20.6403,7,2033,RCP2.6
16.08.33,24.4303,8,2033,RCP2.6
16.09.33,28.55853,9,2033,RCP2.6
16.10.33,30.57162,10,2033,RCP2.6
16.11.33,32.03042,11,2033,RCP2.6
16.12.33,30.9679,12,2033,RCP2.6
16.01.34,30.57696,1,2034,RCP2.6
15.02.34,31.00753,2,2034,RCP2.6
16.03.34,30.05343,3,2034,RCP2.6
16.04.34,27.061,4,2034,RCP2.6
16.05.34,23.20733,5,2034,RCP2.6
16.06.34,19.87792,6,2034,RCP2.6
16.07.34,21.08987,7,2034,RCP2.6
16.08.34,24.13583,8,2034,RCP2.6
16.09.34,29.68847,9,2034,RCP2.6
16.10.34,31.09374,10,2034,RCP2.6
16.11.34,30.61785,11,2034,RCP2.6
16.12.34,30.3881,12,2034,RCP2.6
16.01.35,29.20687,1,2035,RCP2.6
15.02.35,29.094,2,2035,RCP2.6
16.03.35,28.3088,3,2035,RCP2.6
16.04.35,25.39092,4,2035,RCP2.6
16.05.35,22.39358,5,2035,RCP2.6
16.06.35,19.46707,6,2035,RCP2.6
16.07.35,20.03054,7,2035,RCP2.6
16.08.35,24.40167,8,2035,RCP2.6
16.09.35,28.1276,9,2035,RCP2.6
16.10.35,32.01245,10,2035,RCP2.6
16.11.35,30.70135,11,2035,RCP2.6
16.12.35,30.41436,12,2035,RCP2.6
16.01.36,29.2881,1,2036,RCP2.6
15.02.36,28.64373,2,2036,RCP2.6
16.03.36,27.1389,3,2036,RCP2.6
16.04.36,26.32934,4,2036,RCP2.6
16.05.36,22.71035,5,2036,RCP2.6
16.06.36,21.847,6,2036,RCP2.6
16.07.36,21.55248,7,2036,RCP2.6
16.08.36,24.69552,8,2036,RCP2.6
16.09.36,28.6758,9,2036,RCP2.6
16.10.36,31.6381,10,2036,RCP2.6
16.11.36,30.2551,11,2036,RCP2.6
16.12.36,30.95706,12,2036,RCP2.6
16.01.37,30.65438,1,2037,RCP2.6
15.02.37,30.43627,2,2037,RCP2.6
16.03.37,29.59115,3,2037,RCP2.6
16.04.37,25.95287,4,2037,RCP2.6
16.05.37,22.23446,5,2037,RCP2.6
16.06.37,19.6518,6,2037,RCP2.6
16.07.37,20.1599,7,2037,RCP2.6
16.08.37,24.49322,8,2037,RCP2.6
16.09.37,29.59643,9,2037,RCP2.6
16.10.37,31.5579,10,2037,RCP2.6
16.11.37,32.6738,11,2037,RCP2.6
16.12.37,31.22604,12,2037,RCP2.6
16.01.38,30.93694,1,2038,RCP2.6
15.02.38,29.43337,2,2038,RCP2.6
16.03.38,28.977,3,2038,RCP2.6
16.04.38,25.89858,4,2038,RCP2.6
16.05.38,22.90673,5,2038,RCP2.6
16.06.38,21.1385,6,2038,RCP2.6
16.07.38,21.74282,7,2038,RCP2.6
16.08.38,25.14095,8,2038,RCP2.6
16.09.38,30.08532,9,2038,RCP2.6
16.10.38,31.82638,10,2038,RCP2.6
16.11.38,29.967,11,2038,RCP2.6
16.12.38,30.42147,12,2038,RCP2.6
16.01.39,29.93957,1,2039,RCP2.6
15.02.39,29.8346,2,2039,RCP2.6
16.03.39,27.7313,3,2039,RCP2.6
16.04.39,26.67483,4,2039,RCP2.6
16.05.39,22.43356,5,2039,RCP2.6
16.06.39,20.47076,6,2039,RCP2.6
16.07.39,20.22064,7,2039,RCP2.6
16.08.39,24.98495,8,2039,RCP2.6
16.09.39,29.97112,9,2039,RCP2.6
16.10.39,31.3431,10,2039,RCP2.6
16.11.39,30.95968,11,2039,RCP2.6
16.12.39,31.2545,12,2039,RCP2.6
16.01.40,31.07415,1,2040,RCP2.6
15.02.40,30.5231,2,2040,RCP2.6
16.03.40,29.6178,3,2040,RCP2.6
16.04.40,27.4398,4,2040,RCP2.6
16.05.40,23.19964,5,2040,RCP2.6
16.06.40,21.72195,6,2040,RCP2.6
16.07.40,20.4938,7,2040,RCP2.6
16.08.40,24.44955,8,2040,RCP2.6
16.09.40,30.07046,9,2040,RCP2.6
16.10.40,32.35232,10,2040,RCP2.6
16.11.40,31.14663,11,2040,RCP2.6
16.12.40,31.9371,12,2040,RCP2.6
16.01.41,30.52557,1,2041,RCP2.6
15.02.41,29.37487,2,2041,RCP2.6
16.03.41,29.11224,3,2041,RCP2.6
16.04.41,25.89172,4,2041,RCP2.6
16.05.41,22.842,5,2041,RCP2.6
16.06.41,20.60446,6,2041,RCP2.6
16.07.41,20.56924,7,2041,RCP2.6
16.08.41,23.99172,8,2041,RCP2.6
16.09.41,28.4302,9,2041,RCP2.6
16.10.41,30.8214,10,2041,RCP2.6
16.11.41,30.65115,11,2041,RCP2.6
16.12.41,31.16943,12,2041,RCP2.6
16.01.42,30.89498,1,2042,RCP2.6
15.02.42,30.7054,2,2042,RCP2.6
16.03.42,29.2091,3,2042,RCP2.6
16.04.42,26.54052,4,2042,RCP2.6
16.05.42,23.91805,5,2042,RCP2.6
16.06.42,21.08297,6,2042,RCP2.6
16.07.42,20.95724,7,2042,RCP2.6
16.08.42,24.61038,8,2042,RCP2.6
16.09.42,29.51397,9,2042,RCP2.6
16.10.42,31.2801,10,2042,RCP2.6
16.11.42,30.54296,11,2042,RCP2.6
16.12.42,31.0343,12,2042,RCP2.6
16.01.43,29.89633,1,2043,RCP2.6
15.02.43,30.23873,2,2043,RCP2.6
16.03.43,28.5926,3,2043,RCP2.6
16.04.43,26.12435,4,2043,RCP2.6
16.05.43,22.8351,5,2043,RCP2.6
16.06.43,20.45904,6,2043,RCP2.6
16.07.43,21.0002,7,2043,RCP2.6
16.08.43,24.6921,8,2043,RCP2.6
16.09.43,29.61935,9,2043,RCP2.6
16.10.43,32.47286,10,2043,RCP2.6
16.11.43,32.383,11,2043,RCP2.6
16.12.43,31.2625,12,2043,RCP2.6
16.01.44,28.75265,1,2044,RCP2.6
15.02.44,29.5225,2,2044,RCP2.6
16.03.44,28.45077,3,2044,RCP2.6
16.04.44,24.853,4,2044,RCP2.6
16.05.44,22.43856,5,2044,RCP2.6
16.06.44,21.1538,6,2044,RCP2.6
16.07.44,20.51357,7,2044,RCP2.6
16.08.44,24.8608,8,2044,RCP2.6
16.09.44,29.21276,9,2044,RCP2.6
16.10.44,30.50192,10,2044,RCP2.6
16.11.44,31.80193,11,2044,RCP2.6
16.12.44,31.62737,12,2044,RCP2.6
16.01.45,30.6078,1,2045,RCP2.6
15.02.45,32.0513,2,2045,RCP2.6
16.03.45,29.05807,3,2045,RCP2.6
16.04.45,25.90597,4,2045,RCP2.6
16.05.45,22.9289,5,2045,RCP2.6
16.06.45,20.66458,6,2045,RCP2.6
16.07.45,20.52184,7,2045,RCP2.6
16.08.45,25.3981,8,2045,RCP2.6
16.09.45,28.88485,9,2045,RCP2.6
16.10.45,29.59646,10,2045,RCP2.6
16.11.45,30.94686,11,2045,RCP2.6
16.12.45,30.0859,12,2045,RCP2.6
16.01.46,29.07055,1,2046,RCP2.6
15.02.46,30.20327,2,2046,RCP2.6
16.03.46,27.72796,3,2046,RCP2.6
16.04.46,26.5901,4,2046,RCP2.6
16.05.46,23.04238,5,2046,RCP2.6
16.06.46,20.57736,6,2046,RCP2.6
16.07.46,21.4885,7,2046,RCP2.6
16.08.46,25.155,8,2046,RCP2.6
16.09.46,29.3006,9,2046,RCP2.6
16.10.46,30.41897,10,2046,RCP2.6
16.11.46,32.08932,11,2046,RCP2.6
16.12.46,31.8992,12,2046,RCP2.6
16.01.47,31.59872,1,2047,RCP2.6
15.02.47,30.0974,2,2047,RCP2.6
16.03.47,29.15396,3,2047,RCP2.6
16.04.47,26.72866,4,2047,RCP2.6
16.05.47,21.7692,5,2047,RCP2.6
16.06.47,20.32714,6,2047,RCP2.6
16.07.47,20.72268,7,2047,RCP2.6
16.08.47,24.34985,8,2047,RCP2.6
